#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   E010    1 0 0
1   F001    1 1 0
2   F002    1 2 0
3   F003    1 3 0
4   F004    1 4 0
5   F005    1 5 0
6   F006    1 6 0
7   F007    1 7 0
8   F008    3 0 0
9   F009    3 1 0
10  F010    3 2 0
11  E001    3 3 0
12  E002    3 4 0
13  E003    3 5 0
14  E004    3 6 0
15  E005    3 7 0
24  C054    5 0 0
25  C055    5 1 0
26  C056    5 2 0
27  C057    5 3 0
28  C058    5 4 0
29  C059    5 5 0
30  C060    5 6 0
31  C061    5 7 0
41  C016    7 0 0
42  C017    7 1 0
43  C018    7 2 0
44  C019    7 3 0
45  C053    7 4 0
46  C068    7 5 0
47  C069    7 6 0
48  C073    7 7 0
0  D004    0 0 1
1  C020    0 1 1
2  C021    0 2 1
3  C022    0 3 1
4  C023    0 4 1
5  C024    0 5 1
6  C025    0 6 1
7  C026    0 7 1
8  C027    2 0 1
9  C028    2 1 1
10  C029    2 2 1
11  C031    2 3 1
12  C032    2 4 1
13  C033    2 5 1
14  C034    2 6 1
15  C035    2 7 1
24  C044    4 0 1
25  C045    4 1 1
26  C046    4 2 1
27  C047    4 3 1
28  C048    4 4 1
29  C049    4 5 1
30  C050    4 6 1
31  C051    4 7 1
41  C007    6 0 1
42  C009    6 1 1
43  C010    6 2 1
44  C011    6 3 1
45  C012    6 4 1
46  C013    6 5 1
47  C014    6 6 1
48  C015    6 7 1
