#layer  #assembly #HGCROC board   #layer in HGCROC unit
0   C001    5 0
1   C002    5 1
2   C003    5 2
3   C065    5 3
4   C066    5 4
5   C067    5 5
6   C007    5 6
7   C068    5 7
8   C009    4 0
9   C010    4 1
10  C011    4 2
11  C012    4 3
12  C013    4 4
13  C014    4 5
14  C015    4 6
15  C016    4 7
16  C017    1 0
17  C018    1 1
18  C019    1 2
19  C020    1 3
20  C021    1 4
21  C022    1 5
22  C023    1 6
23  C024    1 7
24  C025    0 0
25  C026    0 1
26  C027    0 2
27  C028    0 3
28  C029    0 4
29  C069    0 5
30  C031    0 6
31  C032    0 7
32  C033    7 0
33  C034    7 1
34  C035    7 2
35  C036    7 3
36  C037    7 4
37  C038    7 5
38  C039    7 6
39  C040    7 7
40  C041    6 0
41  C042    6 1
42  C043    6 2
43  C044    6 3
44  C045    6 4
45  C046    6 5
46  C047    6 6
47  C048    6 7
48  C049    3 0
49  C050    3 1
50  C051    3 2
51  C052    3 3
52  C053    3 4
53  C054    3 5
54  C055    3 6
55  C056    3 7
56  C057    2 0
57  C058    2 1
58  C059    2 2
59  C060    2 3
60  C061    2 4
61  C062    2 5
62  C063    2 6
63  C064    2 7
