#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   E010    1 0 0
1   F001    1 1 0
2   F002    1 2 0
3   F003    1 3 0
4   F004    1 4 0
5   F005    1 5 0
6   F006    1 6 0
7   F007    1 7 0
8   F008    3 0 0
9   F009    3 1 0
10  F010    3 2 0
11  E001    3 3 0
12  E002    3 4 0
13  E003    3 5 0
14  E004    3 6 0
15  E005    3 7 0
16  C062    5 0 0
17  C063    5 1 0
18  C064    5 2 0
19  C065    5 3 0
20  C066    5 4 0
21  C067    5 5 0
22  C070    5 6 0
23  C071    5 7 0
33  C016    7 0 0
34  C017    7 1 0
35  C018    7 2 0
36  C019    7 3 0
37  C053    7 4 0
38  C068    7 5 0
39  C069    7 6 0
40  C073    7 7 0
0  D004    0 0 1
1  C020    0 1 1
2  C021    0 2 1
3  C022    0 3 1
4  C023    0 4 1
5  C024    0 5 1
6  C025    0 6 1
7  C026    0 7 1
8  C027    2 0 1
9  C028    2 1 1
10  C029    2 2 1
11  C031    2 3 1
12  C032    2 4 1
13  C033    2 5 1
14  C034    2 6 1
15  C035    2 7 1
16  C036    4 0 1
17  C037    4 1 1
18  C038    4 2 1
19  C039    4 3 1
20  C040    4 4 1
21  C041    4 5 1
22  C052    4 6 1
23  C043    4 7 1
33  C007    6 0 1
34  C009    6 1 1
35  C010    6 2 1
36  C011    6 3 1
37  C012    6 4 1
38  C013    6 5 1
39  C014    6 6 1
40  C015    6 7 1
